Phone3Name,PhoneNumberBusinessLine,TemporaryMessage,MailingAttentionName,LastVerifiedByPhoneNumber,ExcludeFromWebsite,RecordOwner,OfficialName,PhysicalPostalCode,MadeInactiveOn,CapacityType,Longitude,PreferredProvider,LastVerificationApprovedBy,SeniorWorkerName,AvailableForDirectory,PhysicalStateProvince,SeniorWorkerPhoneNumber,AnnualBudgetTotal,OtherCity,MailingAddress1,MailingAddress2,OtherPostalCode,PhoneFax,PhoneNumberOutOfArea,ParentAgency,MainContactEmailAddress,TaxonomyTerms,Latitude,OtherStateProvince,ConnectsToSiteNum,PhysicalLocationDescription,ParentAgencyNum,DocumentsRequired,YearIncorporated,FEIN,Hours,Match Type,TaxonomyTermsNotDeactivated,TaxonomyTerm,BusServiceAccess,LegalStatus,Categories,Phone4Number,ApplicationProcess,TaxonomyCodes,UpdatedOn,MailingCountry,990 Name,PhysicalCountry,AlternateName,Phone1Number,LastVerifiedByEmailAddress,Phone5Number,Phone3Number,AgencyStatus,InternalNotesForEditorsAndViewers,MainContactName,PhysicalAddress2,PhysicalAddress1,InternalNotes,AgencyDescription,HoursOfOperation,MailingPostalCode,TaxonomyLevelName,ResourceAgencyNum,LastVerifiedByName,Phone2Name,HighlightedResource,AvailableForReferral,DisabilitiesAccess,PublicName,SeniorWorkerTitle,ResourceInfo,Coverage,LastVerifiedByTitle,ServiceNotAlwaysAvailability,ExcludeFromDirectory,OtherCountry,IRSStatus,EmailAddressMain,TemporaryMessageAppears,SeniorWorkerEmailAddress,PhysicalCity,MainContactType,ConnectsToProgramNum,PhoneTollFree,PhoneTTY,AgencyClassification,FeeStructureSource,OtherCounty,Phone4Name,EnteredOn,SearchHints,EIN,Phone2Number,PhoneNumberHotline,CoverageArea,TemporaryMessageExpires,MailingStateProvince,WebsiteAddress,PhysicalCounty,Phone5Description,PublicAccessTransportation,AvailableForResearch,OtherAddress2,OtherAddress1,LastVerifiedOn,MailingCity,MainContactPhoneNumber,ServiceCapacity,MainContactTitle,LanguagesOffered,LicenseAccreditation,Phone1Name,CoverageAreaText,SourceOfFunds,PhoneNumberAfterHours,Eligibility
,,,Anacostia Center For Psychotherapy And Counse,,No,DCAP,,20032,,,-77.000212,FALSE,Awilda Ortiz,,,DC,,,,259 Valley Avenue  Se,,,(202) 561-1481,,Anacostia Center for Psychotherapy and Counseling,,,38.835705,,,,0,,,,,,,,,None or unknown,,,,,8/17/11 13:46,United States,,United States,ACPC,(202) 561-1423,,,,Active,,,,"259 Valley Avenue, SE",,Provides a holistic approach to mental health treatment services for adults and children. Offers a variety of mental health and counseling programs.<br /><br />,"9:00 am - 5:00 pm, Monday - Friday                                                                                                          ",20032,Agency,372174,,,FALSE,,,Anacostia Center for Psychotherapy and Counseling,             ,,,,,No,United States,None or unknown,,,,Washington,,,,,,,,,1/18/00 0:00,372174,,,,,,DC,,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,,,Main Number                             ,,,,
,,Please advise callers that the phone rings for a long time prior to going to voice mail. ,Anacostia Center For Psychotherapy And Counse,,No,DCAP,,20020,,,-76.972801,FALSE,Awilda Ortiz,Joanne Bragg,,DC,,,,2025 Martin Luther King Se,,,(202) 561-1481,,Anacostia Center for Psychotherapy and Counseling,,Mental Health and Substance Abuse Services - Mental Health Care Facilities - Outpatient Mental Health Facilities; Mental Health and Substance Abuse Services - Counseling Settings - Group Counseling; Mental Health and Substance Abuse Services - Counseling ,38.862215,,,,372174,,,,,,Mental Health and Substance Abuse Services - Mental Health Care Facilities - Outpatient Mental Health Facilities; Mental Health and Substance Abuse Services - Counseling Settings - Group Counseling; Mental Health and Substance Abuse Services - Counseling ,Outpatient Mental Health Facilities; Group Counseling; Family Counseling; Individual Counseling; Anger Management; Parent Counseling; Marriage Counseling; ,Transportation Available: 8                      ,None or unknown,"Substance Abuse Services; Substance Abuse-Counseling; Substance Abuse-Education, Info; MH (Mental Health); Counseling; Parenting-Counseling; Parenting-Education; MH-Child; MH-Mental Illness; MH-Counseling, Substance Abuse; Parenting-Skills; MH Facility-Co",,Telephone,RM-6500; RF-2500; RF-2000; RF-3300; RP-1400.8000-070; RP-1400.8000-650; RP-1400.8000-500,8/17/11 13:45,United States,,United States,ACPC,(202) 561-1423,,,,Active,,,,2025 Martin Luther King Se,,"Provides a holistic approach to mental health treatment services for adults and children.  Services include:  parenting classes, reunification parent counseling, substance abuse counseling, marriage counseling, anger management, medication management, dan","10:00 am - 6:00 pm, Monday - Thursday; 9:00 am - 1:00 pm, Saturday",20020,Program,373505,,,FALSE,,SE                     ,Anacostia Center for Psychotherapy and Counseling,Agency Director,,MD - Anacostia County; ,,,No,United States,None or unknown,,9/28/10 0:00,,Washington,,,,,,Sliding Scale ,,,1/18/00 0:00,373505,,,,District of Columbia,1/1/00 0:00,DC,http://anacostiacenter.org,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,"English, Spanish",,Main Number,,,,None
,,,Anacostia Community Health Center James St Amant,,No,DCAP,,20020,,,-76.972801,FALSE,Awilda Ortiz,,,DC,,,,"1328 W Street, SE",,,(202) 610-7164,,Anacostia Community Health Center,,Income Support and Employment - Public Assistance Programs - Nutrition Related Public Assistance Programs - WIC; Health Care; Health Care - Specialty Medicine - Pediatrics; Health Care - Health Supportive Services - Health Education - Nutrition Education;,38.862215,DC,,,372185,,,,,,Income Support and Employment - Public Assistance Programs - Nutrition Related Public Assistance Programs - WIC; Health Care; Health Care - Specialty Medicine - Pediatrics; Health Care - Health Supportive Services - Health Education - Nutrition Education;,WIC; Health Care; Pediatrics; Nutrition Education; Obstetrics/Gynecology; ,Transportation Available: 8                      ,None or unknown,"Health Care; Health-Clinics; Health-Maternal and Infant; Health-Nutrition; Health-Pediatrics; Health-Men; Health-Women; WIC; Health-Physicals, Check--ups; Health-Dental; Insurance-Medicaid; Insurance-Medicare;",,"Telephone, By Appointment, Walk-In",NL-6000.9500; L; LV-6800; LH-2700.6000; LV-6000,12/1/11 14:20,United States,,United States,W Street Clinic,(202) 610-7160,,,,Active,,,,"1328 W Street, SE",,"Provides a Comprehensive Integrated Delivery System (CIDS) which emphasizes prevention and a patient-centered environment. Includes internal medicine, OB-Gyn, pediatrics, dental hygiene, social services, nutrition, WIC, supplemental foods, and pharmacy.","7:45 am - 8:00 pm, Monday, Wednesday, 7:45 am - 4:45 pm Tuesday, Thursday, Friday; 8:00 am  - 2:00 pm, Saturday",20020,Program,373569,sf,,FALSE,,SE                     ,Anacostia Community Health Center,,,MD - Anacostia County; ,,,No,United States,None or unknown,,,,Washington,,,,,,Sliding Scale (based on patient's financial circumstances),,,2/18/00 0:00,373569,,,,District of Columbia,,DC,,District Of Columbia,,,,,,12/1/11 0:00,Washington,,,,English,,Intake Number,,,,None
,,,Anacostia Community Health CenterJAMES ST AMANT                               ,,No,DCAP,,20020,,,-76.972801,FALSE,Awilda Ortiz,James St.Amant                     ,,DC,,,,1328 W St SE,,,(202) 610-7164,,Anacostia Community Health Center,,,38.862215,DC,,,0,,,,Mon 7:45am - 8:00pm; Tue 8:00am - 2:00 pm; Wed 7:45am - 8:00pm; Thu 8:00am - 2:00 pm; Fri 8:00am - 2:00 pm; Sat 8:00am - 2:00 pm; Sun Close - Close; ,,,,,None or unknown,,,,,10/18/11 14:58,United States,,United States,W Street Clinic,(202) 610-7160,,,,Active,,,,"1328 W Street, SE","Provides a comprehensive integrated delivery system, which emphasizes prevention and a patient-centered environment. ",,"10:00 am - 7:00 pm, Monday - Friday                                                                                                         ",20020,Agency,372185,Awilda Ortiz,,FALSE,,,Anacostia Community Health Center,Director                           ,,,,,No,United States,None or unknown,,,,Washington,,,,,,,,,2/18/00 0:00,372185,,,,,,DC,,District Of Columbia,,,,,,10/18/11 0:00,Washington,,,,,,Intake Number                           ,,,,
,,,Ananda Marga Of Washington,,No,DCAP,,20850,,,-77.17452,FALSE,Zina Anderson,Peter Sage,,MD,,,,2502 Lindley Terrace,,,,,AMURT/Food For All,,Basic Needs - Food - Emergency Food - Brown Bag Food Programs,39.087347,DC,,,371833,,,,,,Basic Needs - Food - Emergency Food - Brown Bag Food Programs,Brown Bag Food Programs; ,Transportation Available: 4                      ,None or unknown,Food-Meal Assistance; Food-Delivery; Food*; Food-Emergency Assistance;,,Referral required from any service provider known to the client,BD-1800.1000,5/7/12 11:34,United States,,United States,FOOD FOR ALL,(301) 738-7122,,,,Active,,,,2502 Lindley Terrace,,Provides emergency food to low-income individuals and families throughout the District of Columbia.  Delivers food to people who are housebound.<br /><br />Home visits: Colonial Village       ," 9:00 am - 3 pm Delivery, Saturday Only",20850,Program,373722,Zina Anderson,,FALSE,,NW                     ,"Ananda Marga Universal Relief Team, Washington, DC - Food for All",Program Director,,MD - Adams Morgan / Mount Pleasant County; ,,,No,United States,None or unknown,,,petersage@amurt.us,Rockville,,,,,,No fee                                                                                                                        ,,,11/13/00 0:00,373722,,,,District of Columbia,,MD,www.amurt.net,Montgomery,,,,,,5/3/12 0:00,Rockville,,,,English,,Intake Number,,,,Low-income and no-income residents of the District of Columbia
,,,Anchor Mental Health Association,,No,DCAP,,20017,,,-76.993268,FALSE,Awilda Ortiz,       ,,DC,,,,Po Box 29058,,,,,Anchor Mental Health Association,,,38.937664,,,,0,,,,,,,,,None or unknown,,,,,8/17/11 13:49,United States,,United States,AMHA,(202) 635- 5900,,,,Active,,,,"1001 Lawrence Street, NE",Provides professional rehabilitation services to enable adults with mental illness to live and work independently in the community.,Provides professional rehabilitation services to enable adults with mental illness to live and work independently in the community,"8:30 am - 5:00 pm, Monday - Friday                                                                                                          ",20017,Agency,372240,,,FALSE,,,Anchor Mental Health Association,                   ,,,,,No,United States,None or unknown,,,,Washington,,,,,,,,,11/7/00 0:00,372240,,,,,,DC,http://www.catholiccharitiesdc.org/page.aspx?pid=366,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,,,Administrative Number                   ,,,,
,,,Anchor Mental Health Association Anchor Club,,No,DCAP,,20017,,,-76.993268,FALSE,Awilda Ortiz,Terry Spencer,,DC,,,,"1001 Lawrence Street, NE",Po Box 29058,,(202) 635-5978,,Anchor Mental Health Association,,Mental Health and Substance Abuse Services - Mental Health Care Facilities - Outpatient Mental Health Facilities; Mental Health and Substance Abuse Services - Mental Health Evaluation and Treatment - Psychiatric Services - Special Psychiatric Programs - P,38.937664,DC,,,372240,,,,,,Mental Health and Substance Abuse Services - Mental Health Care Facilities - Outpatient Mental Health Facilities; Mental Health and Substance Abuse Services - Mental Health Evaluation and Treatment - Psychiatric Services - Special Psychiatric Programs - P,Outpatient Mental Health Facilities; Psychiatric Day Treatment; ,Transportation Available: 5                      ,None or unknown,MH (Mental Health); MH Facility-Drop-in Centers; MH Facility-Community Center; MH-Chronic Illnesses; MH-Associations;,,Referral Required (from DMH),RM-6500; RP-6400.8000-620,8/17/11 14:02,United States,,United States,AMHA,(202) 635-5978,,,,Active,,,,"1001 Lawrence Street, NE",,Offers a psycho-social day program for adults with chronic mental illness.<br /><br />Home visits: Brookland              ,"8:30 am - 5:00 pm, Monday - Friday",20017,Program,373716,,Main Number,FALSE,,NE                     ,Anchor Mental Health Association - Anchor Club,Director,,MD - Brookland County; ,,,No,United States,None or unknown,,,,Washington,,,,,,Flat Fee,,,11/10/00 0:00,373716,,(202) 635- 5900,,District of Columbia,,DC,http://www.catholiccharitiesdc.org/page.aspx?pid=366,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,,,Intake Number,,,,"Ages 18 and older, referrals from DC Department of Mental Health (DMH), diagnosed with major mental illness"
Main Number,,,Anchor Mental Health Association,,No,DCAP,,20017,,,-76.993268,FALSE,Awilda Ortiz,Terry Spencer,,DC,,,,Po Box 29058,,,(202) 832-8216,,Anchor Mental Health Association,,Individual and Family Life - Individual and Family Support Services - Case/Care Management; Basic Needs - Housing/Shelter - Supportive Housing Placement/Referral - Residential Placement Services for People With Disabilities; Mental Health and Substance Ab,38.937664,DC,,,372240,,,,,,Individual and Family Life - Individual and Family Support Services - Case/Care Management; Basic Needs - Housing/Shelter - Supportive Housing Placement/Referral - Residential Placement Services for People With Disabilities; Mental Health and Substance Ab,Case/Care Management; Residential Placement Services for People With Disabilities; Mental Health and Substance Abuse Services; ,Transportation Available: 5                      ,None or unknown,MH (Mental Health); MH-Chronic Illnesses; MH-Associations; MH-Mental Illness; Case Management; Homeless-Mentally Ill; Disability General;,,Referral Required (by DMH),PH-1000; BH-8500.7000; R,12/1/11 14:29,United States,,United States,AMHA,(202) 635-5978,,,(202) 635- 5900,Active,,,,"1001 Lawrence Street, NE",,"Provides housing assistance and case management services for homeless adults with chronic mental illness, substance abuse and/or HIV/AIDS.<br /><br />Home visits: Brookland              ","8:30 am - 5:00 pm, Monday - Friday",20017,Program,373712,sf,Social Worker,FALSE,,NE                     ,Anchor Mental Health Association - Community Case Management,Director,,MD - Brookland County; ,,,No,United States,None or unknown,,,,Washington,,,,,,Flat Fee,,,11/10/00 0:00,373712,,(202) 635-5942,,District of Columbia,,DC,http://www.catholiccharitiesdc.org/page.aspx?pid=366,District Of Columbia,,,,,,12/1/11 0:00,Washington,,,,English,,Intake Number,,,,"Ages 18 and over, Referrals from DC Department of Mental Health (DMH), diagnosed with major mental illness"
,,,Anchor Mental Health Association,,No,DCAP,,20017,,,-76.993268,FALSE,Awilda Ortiz,Rev. Msgr. John G. Kohn,,DC,,,,Po Box 29058,,,(202) 832-8226,,Anchor Mental Health Association,,Target Populations - Topical Identifiers/Issues - Mental Health Issues; Mental Health and Substance Abuse Services - Mental Health Evaluation and Treatment - Psychiatric Services - Special Psychiatric Programs - Psychiatric Rehabilitation; Health Care - R,38.937664,DC,,,372240,,,,,,Target Populations - Topical Identifiers/Issues - Mental Health Issues; Mental Health and Substance Abuse Services - Mental Health Evaluation and Treatment - Psychiatric Services - Special Psychiatric Programs - Psychiatric Rehabilitation; Health Care - R,Mental Health Issues; Psychiatric Rehabilitation; Rehabilitation/Habilitation Services; ,Transportation Available: 5                      ,None or unknown,"HIV, AIDS General; Homeless General; MH (Mental Health); MH-Chronic Illnesses; MH-Mental Illness; Housing-Disabled; Housing-Search, Placement; Substance Abuse Services;",,Referral Required (from DMH),YZ-5000; RP-6400.8000-660; LR,12/1/11 14:34,United States,,United States,"AMHA,",(202) 635-5939,,,,Active,,,,"1001 Lawrence Street, NE",,Provides professional rehabilitation services to enable adults with mental illness to live and work independently in the community.<br /><br />Home visits: Brookland              ,"8:30 am - 5:00 pm, Monday - Friday",20017,Program,373713,sf,Main,FALSE,,NE                     ,Anchor Mental Health Association - Coping Skills,President,,MD - Brookland County; ,,,No,United States,None or unknown,,,,Washington,,,,,,Flat Fee,,,11/10/00 0:00,373713,,(202) 635-5900,,District of Columbia,,DC,http://www.catholiccharitiesdc.org/page.aspx?pid=366,District Of Columbia,,,,,,12/1/11 0:00,Washington,,,,"English, American Sign Language by contract",,Intake Number,,,,"Ages 18 and older, referrals from DC Department of Mental Health (DMH), diagnosed with major mental illness"
,,,Anchor Mental Health Association Employment Services,,No,DCAP,,20017,,,-76.993268,FALSE,Awilda Ortiz,Terry Spencer,,DC,,,,Po Box 29058,,,(202) 832-8216,,Anchor Mental Health Association,,,38.937664,,,,372240,,,,,,,,Transportation Available: 5                      ,None or unknown,"MH (Mental Health); MH-Chronic Illnesses; MH-Associations; Training-Computer; Employment-Disabled; Employment-Readiness; Employment-Training; Disability-Education, Training; Disability-Employment; Employment General; Training General; Employment-Career Co",,"Referral Required (by DMH, RSA, or DOES)",ND-6500.8040,8/17/11 13:58,United States,,United States,"AMHA, Anchor Enterprises",(202) 635-5900,,,,Active,,,,"1001 Lawrence Street, NE",,"Provides pre-employment counseling, job readiness training, computer training, job placement assistance for adults with chronic mental illness.<br /><br />Home visits: Brookland              ","8:30 am - 5:00 pm, Monday - Friday",20017,Program,373714,,,FALSE,,NE                     ,Anchor Mental Health Association - Employment Services,Director,,MD - Brookland County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No Fee,,,11/10/00 0:00,373714,,,,District of Columbia,,DC,http://www.catholiccharitiesdc.org/page.aspx?pid=366,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,"English, American Sign Language by contract",,Intake Number,,,,"DC Resident, Referred by DC Department of Mental Health (DMH), DC Rehabilitation Services Administration (RSA), or DC Department of Employment Services (DOES)"
,,,Anchor Mental Health Association Rehabilitative Day Services,,No,DCAP,,20017,,,-76.993268,FALSE,Awilda Ortiz,Terry Spencer,,DC,,,,1001 Lawrence Street Ne,,,(202) 832-8216,,Anchor Mental Health Association,,Income Support and Employment - Employment - Vocational Rehabilitation; Income Support and Employment - Employment - Training and Employment Programs - Supported Employment; Mental Health and Substance Abuse Services - Mental Health Evaluation and Treatme,38.937664,,,,372240,,,,,,Income Support and Employment - Employment - Vocational Rehabilitation; Income Support and Employment - Employment - Training and Employment Programs - Supported Employment; Mental Health and Substance Abuse Services - Mental Health Evaluation and Treatme,Vocational Rehabilitation; Supported Employment; Psychiatric Disorder Counseling; ,Transportation Available: 5                      ,None or unknown,MH (Mental Health); MH-Chronic Illnesses; MH-Associations; MH-Mental Illness; Employment-Disabled; Employment General; Disability General; Disability-Employment;,,"Referral Required (from DMH, DOES or RSA)",ND-9000; ND-6500.8120; RP-1400.8000-675,8/17/11 14:02,United States,,United States,"AMHA, Anchor Institute",(202) 635-5952,,(202) 635-5900,,Active,,,,"1001 Lawrence Street, NE",,"Provides structured, curriculum based programs to assist consumers in developing life skills, fostering social integration and increasing their independence in the community. Programs include mental health rehabilitation, vocational training, and supporte","8:30 am - 5:00 pm, Monday - Friday",20017,Program,373717,,Main Number,FALSE,,NE                     ,Anchor Mental Health Association - Rehabilitative Day Services,Director,,MD - Brookland County; ,,,No,United States,None or unknown,,,,Washington,,,,,,,,,11/10/00 0:00,373717,,(202) 635-5900,,District of Columbia,,DC,http://www.catholiccharitiesdc.org/page.aspx?pid=366,District Of Columbia,TTY/TDD Number,,,,,8/17/11 0:00,Washington,,,,,,Intake Number,,,,"Ages 18 and older, referral required from DC Department of Mental Health (DMH), DC Rehabilitation Services Administration (RSA), or DC Department of Employment Services (DOES), mentally ill"
,,,Anchor Mental Health Association Supervised Residences,,No,DCAP,,20017,,,-76.993268,FALSE,Awilda Ortiz,Terry Spencer,,DC,,,,Po Box 29058,,,(202) 832-8216,,Anchor Mental Health Association,,Target Populations - Living Situation/Housing Status - Supportive Housing Residents,38.937664,DC,,,372240,,,,,,Target Populations - Living Situation/Housing Status - Supportive Housing Residents,Supportive Housing Residents; ,Transportation Available: 5                      ,None or unknown,MH (Mental Health); MH-Associations; MH-Chronic Illnesses; Housing-Supervised Living;,,Referral Required (from DMH),YM-8300,12/1/11 14:38,United States,,United States,"AMHA, Anchor Supervised Residences",(202) 635-5900,,,,Active,,,,"1001 Lawrence Street, NE",,Provides supervised residential programs for adults with chronic mental illness.<br /><br />Home visits: Brookland              ,Open 24 hours,20017,Program,373715,,,FALSE,,NE                     ,Anchor Mental Health Association - Supervised Residences,Director,,MD - Brookland County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee by contract with DC Department of Mental Health (DMH),,,11/10/00 0:00,373715,,,,District of Columbia,,DC,http://www.catholiccharitiesdc.org/page.aspx?pid=366,District Of Columbia,,,,,,12/1/11 0:00,Washington,,,,English,,Intake Number,,,,"Ages 18 and older, diagnosis of chronic mental illness"
,,,Andromeda Transcultural Hispano Mntl Hlth Ctr Substance Abuse Counseling,,No,DCAP,,20011,,,-77.017836,FALSE,Awilda Ortiz,,,DC,,,,1400 Decatur Street Nw,,,(202) 723-4560,,Andromeda Transcultural Hispano Mental Health Center,,Mental Health and Substance Abuse Services - Substance Abuse Services - Substance Abuse Treatment Programs - Substance Abuse Counseling,38.952387,DC,,,371918,,,,,,Mental Health and Substance Abuse Services - Substance Abuse Services - Substance Abuse Treatment Programs - Substance Abuse Counseling,Substance Abuse Counseling; ,Transportation Available: 4                      ,None or unknown,Substance Abuse-Counseling; Substance Abuse Services; Substance Abuse-Outpatient;,,"Telephone, Walk-In, Emergency",RX-8450.8000,12/1/11 14:40,United States,,United States,,(202) 291-4707,,,,Active,,,,"1400 Decatur Street, NW",,Provides outpatient counseling for people with alcohol and drug problems.  Requires a release-of-patient information form and referral records.<br /><br />Home visits: Petworth               ,"9:00 am - 5:00 pm, Monday - Friday",20011,Program,372553,,,FALSE,,NW                     ,Andromeda Hispano Mental Health Center-Substance Abuse Counseling,,,MD - Adams Morgan / Mount Pleasant County; ,,,No,United States,None or unknown,,,,Washington,,,,,,Sliding Scale,,,6/15/99 0:00,372553,,,,District of Columbia,,DC,http://www.andromedahealthcenter.org/default.aspx,District Of Columbia,,,,,,12/1/11 0:00,Washington,,,,"American Sign Language, Creole, French, Spanish",,Intake Number,,,,None
24-hour Hotline                         ,,,Andromeda Transcultural Hispano Mntl Hlth Ctr,,No,DCAP,,20011,,,-77.017836,FALSE,Awilda Ortiz,               ,,DC,,,,1400 Decatur Street Nw,,,(202) 723-4560,,Andromeda Transcultural Hispano Mental Health Center,,,38.952387,DC,,,0,,,,,,,,,None or unknown,,,,,8/17/11 14:15,United States,,United States,,(202) 291-4707,,,,Active,,,,"1400 Decatur Street, NW",,"Provides outpatient mental health services and alcohol and drug abuse prevention, counseling, education and treatment. Offers HIV/AIDS services and a DWI (Driving While Intoxicated) program for Spanish speakers. All services are available with Spanish-spe","9:00 am - 5:00 pm, Monday - Friday                                                                                                          ",20011,Agency,371918,,,FALSE,,,Andromeda Transcultural Hispano Mental Health Center,                     ,,,,,No,United States,None or unknown,,,,Washington,,,,,,,,,6/15/99 0:00,371918,,(202) 722-1245,,,,DC,http://www.andromedahealthcenter.org/default.aspx,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,,,Business Number                         ,,,,
,,,Andromeda Transcultural Hispano Mntl Hlth Ctr Mental Health Treatment,,No,DCAP,,20011,,,-77.017836,FALSE,Awilda Ortiz,,,DC,,,,1400 Decatur Street Nw,,,(202) 723-4560,,Andromeda Transcultural Hispano Mental Health Center,,Mental Health and Substance Abuse Services - Mental Health Care Facilities - Outpatient Mental Health Facilities; Mental Health and Substance Abuse Services - Counseling Settings - Individual Counseling; Mental Health and Substance Abuse Services - Mental,38.952387,,,,371918,,,,,,Mental Health and Substance Abuse Services - Mental Health Care Facilities - Outpatient Mental Health Facilities; Mental Health and Substance Abuse Services - Counseling Settings - Individual Counseling; Mental Health and Substance Abuse Services - Mental,Outpatient Mental Health Facilities; Individual Counseling; General Counseling Services; ,Transportation Available: 4                      ,None or unknown,MH-Counseling; MH Facility-Outpatient; MH (Mental Health);,,"Telephone, Walk-In, Emergency",RM-6500; RF-3300; RP-1400.2500,8/17/11 14:14,United States,,United States,,(202) 291-4707,,,,Active,,,,"1400 Decatur Street, NW",,Provides outpatient counseling for people with mental health problems. Requires a release-of-patient information form and referral records.<br /><br />Home visits: Petworth               ,"9:00 am - 5:00 pm, Monday - Friday",20011,Program,372554,,,FALSE,,NW                     ,Andromeda Transcultural Hispano Mental Health Treatment,,,MD - Adams Morgan / Mount Pleasant County; ,,,No,United States,None or unknown,,,,Washington,,,,,,Sliding Scale,,,6/15/99 0:00,372554,,,,District of Columbia,,DC,http://www.andromedahealthcenter.org/default.aspx,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,"American Sign Language, Creole, French, Spanish",,Intake Number,,,,None
,,,Animal Welfare Institute,,Yes,DCAP,,22314,,,-77.0508,FALSE,Zina Anderson,,,VA,,,,Po Box 3650,,,(202) 446-2151,,Animal Welfare Approved,,,38.8019,,,,0,,,,,,,,,None or unknown,,,,,2/13/12 13:07,United States,,United States,AWA,(202) 546-5292 ,,,,Inactive,,Amanda ,,1007 Queen Street,"Educates the public on the humane treatment of animals.  Advocates and promotes refinement of housing and handling lab animals, development of non-animal testing methods, prohibition and reform of wildlife control, preservation of species, and regulation ","Animal Welfare Approved (AWA) was founded in 2006 as a market-based solution to growing consumer interest in how farm animals are raised and desire to know where their food is coming from and how it is produced. The Animal Welfare Institute (AWI), a non-p","9:00 am - 6:00 pm, Monday - Friday                                                                                                          ",20007,Agency,372128,Zina Anderson,,FALSE,,,Animal Welfare Approved,,,,,,No,-1,None or unknown,info@animalwelfareapproved.org,,,Alexandria,,,,,,,,,,372128,,,,,,DC,http://www.animalwelfareapproved.org,Fairfax,,,,,,1/13/12 0:00,Washington,Requested to be taken out the data base 02/13/12,,,,,Main Number                             ,,,,
,,,Animal Welfare Institute,,No,DCAP,,20003,,,-76.9925,FALSE,Awilda Ortiz,,,DC,,,,Po Box 3650,,, (202) 446-2131,,Animal Welfare Approved,,Individual and Family Life - Domestic Animal Services - Protective Services for Animals - Cruelty to Animals Investigation; Individual and Family Life - Domestic Animal Services - Protective Services for Animals,38.882,,,,372128,,,,,,Individual and Family Life - Domestic Animal Services - Protective Services for Animals - Cruelty to Animals Investigation; Individual and Family Life - Domestic Animal Services - Protective Services for Animals,Cruelty to Animals Investigation; Protective Services for Animals; ,,None or unknown,Education General; Animals General; Animals-Veterinary Services; Volunteer Opportunities;,,,PD-7600.1500; PD-7600,12/1/11 14:45,United States,,United States,AWI,(202) 337-2332 ,,,,Active,,,,"900 Pennsylvania Avenue, SE","Key Contact Person for Answers Please!  Kathy Liss, Administrative Assistant  Phone: (202) 337- 2332  Fax: (202) 338- 9478","Since its founding in 1951, AWI has sought to alleviate the suffering inflicted on animals by people. In the organization's early years, our particular emphasis was on the desperate needs of animals used for experimentation. In the decades that followed, ","9:00 am - 6:00 pm, Monday - Friday",20007,Program,373196,,,FALSE,,,Animal Welfare Institute,,,MD - DC Metropolitan Area (MD & VA) County; ,,,No,-1,None or unknown,awi@awionline.org,,,Washington,,,,,,,,,,373196,,,,,,DC,http://www.awionline.org,District Of Columbia,,,,,,12/1/11 0:00,Washington,,,,,,Main Number,,,,
,,,"Arch Training Center, IncMARILYN GREENE                               ",,No,DCAP,,20020,,,-76.972801,FALSE,Zina Anderson,Clement E. Idun                    ,,DC,,,,2477 Martin Luther King Jr. Av Se,,,(202)889-5035,,ARCH Training Center,,,38.862215,DC,,,0,,,,Mon; Tue; Wed; Thu; Fri; Sat; Sun; ,,,,,None or unknown,,,,,,United States,,United States,Action to Rehabilitate Community Housing,(202) 889-5000,,,,Active,,,,"1227 Good Hope Rd, SE","Provides employment, training, academic instruction, employability job readiness training, placement assistance, counseling and supportive services for disadvantaged youth and adults.",ARCH Training Center closed - no longer provides education and training programs.,"8:00 am - 5:00 pm, Monday - Friday, except on public holidays                                                                               ",20020,Agency,372202,,,FALSE,,,ARCH Training Center,Executive Director                 ,,,,,No,United States,None or unknown,yhollis@archdc.org,,,Washington,,,,,,,,,3/7/00 0:00,372202,,,,,,DC,http://www.archdc.org,-1,,,,,,4/11/12 10:10,Wahington,,,,,,Main Number                             ,,,,
